|Drug Name|disease_type|drug_outcome|trial_count|trial_actual_duration|number_of_primary_outcomes_to_measure|number_of_secondary_outcomes_to_measure|number_of_arms|adult|child|has_single_facility|has_us_facility|healthy_volunteers|min_age|max_age|number_of_facilities|enrollment|Spacy_Pregnant_Women_Excluded|LLama3_2_Criteria_Robustness|LLM_GBT_4o_Human_Importance_Ratings|new_therapy_area_Autoimmune|new_therapy_area_Bone|new_therapy_area_Cardiovascular|new_therapy_area_Dermatology|new_therapy_area_Endocrinology|new_therapy_area_Gastrointestinal|new_therapy_area_Genetic and Rare Diseases|new_therapy_area_Hematology|new_therapy_area_Hepatic diseases|new_therapy_area_Infections (bacterial)|new_therapy_area_Infections (viral)|new_therapy_area_Infectious Diseases|new_therapy_area_Metabolic disorders|new_therapy_area_Neurology|new_therapy_area_Neuroscience (non-progressive)|new_therapy_area_Oncology|new_therapy_area_Ophthalmology|new_therapy_area_Other|new_therapy_area_Pain|new_therapy_area_Progressive neurological disorders|new_therapy_area_Psychiatry and Mental Health|new_therapy_area_Respiratory|new_therapy_area_Rheumatology|new_therapy_area_Urology and Reproductive Health|gender_ALL|gender_FEMALE|gender_MALE|total_days_since_first_start|avg_days_since_first_start
0|123I-iodometomidate|Renal|0|1|21.0|1.0|0.0|1.0|1|0|1|0|0|30.0|99.0|1.0|66.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|657|657.0
1|123I-iodometomidate|Renal Disease|0|1|21.0|1.0|0.0|1.0|1|0|1|0|0|30.0|99.0|1.0|66.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|True|1|1|657|657.0
2|123I-iodometomidate|Unspecified Cancer|0|1|21.0|1.0|0.0|1.0|1|0|1|0|0|30.0|99.0|1.0|66.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|657|657.0
3|123I-iodometomidate|Unspecified Solid Tumor|0|1|21.0|1.0|0.0|1.0|1|0|1|0|0|30.0|99.0|1.0|66.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|657|657.0
4|2-deoxyglucose|Prostate|0|1|52.0|1.0|3.0|1.0|1|0|1|1|0|18.0|99.0|1.0|12.0|1.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|1597|1597.0
5|A-3384|Gastric|0|1|9.0|1.0|1.0|3.0|1|0|0|0|0|18.0|80.0|3.0|19.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|291|291.0
6|A-6|Leukemia, Chronic Lymphocytic|0|1|21.0|1.0|4.0|1.0|1|0|1|1|0|18.0|99.0|1.0|5.0|1.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|653|653.0
7|A-6|Lymphoma, Non-Hodgkin's|0|1|21.0|1.0|4.0|1.0|1|0|1|1|0|18.0|99.0|1.0|5.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|653|653.0
8|ABI-H2158|HBV|0|1||4.0|13.0|2.0|1|0|0|1|0|18.0|65.0|44.0|88.0|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|412|412.0
9|ABT-072|HCV|0|3|12.307692307692308|8.461538461538462|3.769230769230769|5.923076923076923|1|0|1|1|0|18.0|65.0|17.307692307692307|49.30769230769231|0.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|True|1|1|806|268.6666666666667
10|ABT-288|Alzheimer's Disease|0|1|14.0|1.0|4.0|4.0|1|0|0|0|0|55.0|90.0|21.0|242.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|True|1|1|440|440.0
11|ABT-384|Alzheimer's Disease|0|1|14.0|1.0|4.0|4.0|1|0|0|0|0|55.0|90.0|30.0|267.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|True|1|1|442|442.0
12|ABT-436|Alcohol Dependence|0|1|27.0|1.0|0.0|2.0|1|0|0|1|0|21.0|65.0|5.0|150.0|1.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|True|1|1|835|835.0
13|ABT-510|Head/Neck|0|1|35.0|1.0|0.0|1.0|1|0|1|1|0|18.0|99.0|1.0|6.0|1.0|2.0|1.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|1081|1081.0
14|ABT-639|Diabetic Complications|0|2|6.166666666666667|1.0|2.6666666666666665|3.0|1|0|1|1|0|18.0|75.0|29.333333333333332|167.33333333333334|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|True|1|1|595|297.5
15|ABT-639|Pain (neuropathic)|0|2|6.166666666666667|1.0|2.6666666666666665|3.0|1|0|1|1|0|18.0|75.0|29.333333333333332|167.33333333333334|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|True|1|1|595|297.5
16|ABT-652|Osteoarthritis|0|1|8.0|1.0|4.0|4.0|1|0|0|1|0|40.0|75.0|38.0|322.0|0.0|2.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|True|1|1|258|258.0
17|ABT-751|Leukemia, Acute Lymphocytic|0|1|36.0|2.0|1.0|7.0|1|1|0|1|0|18.0|21.0|5.0|9.0|0.0|0.0|0.0|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|1|1|1093|1093.0
