|trial_drug_cleaned|disease_type|drug_outcome|nct_id|pcd|enrollment|actual_duration|number_of_primary_outcomes_to_measure|number_of_secondary_outcomes_to_measure|number_of_arms|adult|child|has_single_facility|has_us_facility|healthy_volunteers|gender_f|gender_m|minimum_age_num|maximum_age_num|number_of_facilities|Spacy_Pregnant_Women_Excluded|LLama3_2_Criteria_Robustness|LLM_GBT_4o_Human_Importance_Ratings|days_since_first_start|cumsum_enrollment|cumavg_enrollment|cumsum_trial_duration|cumavg_trial_duration|cumulative_number_of_primary_outcomes_to_measure|cumulative_number_of_secondary_outcomes_to_measure|cumulative_number_of_arms|cumulative_adult|cumulative_child|cumulative_single_facility|cumulative_us_facility|cumulative_healthy_volunteers|cumulative_gender_f|cumulative_gender_m|cumulative_min_age|cumulative_max_age|cumulative_number_of_facilities|cumulative_Spacy_Pregnant_Women_Excluded|cumulative_LLama3_2_Criteria_Robustness|cumulative_LLM_GPT_4o_Human_Importance_Ratings|pair_trial_seq|new_therapy_area_Autoimmune|new_therapy_area_Bone|new_therapy_area_Cardiovascular|new_therapy_area_Dermatology|new_therapy_area_Endocrinology|new_therapy_area_Gastrointestinal|new_therapy_area_Genetic and Rare Diseases|new_therapy_area_Hematology|new_therapy_area_Hepatic diseases|new_therapy_area_Infections (bacterial)|new_therapy_area_Infections (viral)|new_therapy_area_Infectious Diseases|new_therapy_area_Metabolic disorders|new_therapy_area_Neurology|new_therapy_area_Neuroscience (non-progressive)|new_therapy_area_Oncology|new_therapy_area_Ophthalmology|new_therapy_area_Other|new_therapy_area_Pain|new_therapy_area_Progressive neurological disorders|new_therapy_area_Psychiatry and Mental Health|new_therapy_area_Respiratory|new_therapy_area_Rheumatology|new_therapy_area_Urology and Reproductive Health
23972|123iiodometomidate|Renal|0|NCT00454103|2008-12-31||21.0|1.0|0.0|1.0|1|0|1|0|0|1|1|30.0|99.0|1.0|0.0|0.0|0.0|657|||21.0|21.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|30.0|99.0|1.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
23974|123iiodometomidate|Renal Disease|0|NCT00454103|2008-12-31||21.0|1.0|0.0|1.0|1|0|1|0|0|1|1|30.0|99.0|1.0|0.0|0.0|0.0|657|||21.0|21.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|30.0|99.0|1.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
23971|123iiodometomidate|Unspecified Cancer|0|NCT00454103|2008-12-31||21.0|1.0|0.0|1.0|1|0|1|0|0|1|1|30.0|99.0|1.0|0.0|2.0|0.0|657|||21.0|21.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|30.0|99.0|1.0|0.0|2.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
23973|123iiodometomidate|Unspecified Solid Tumor|0|NCT00454103|2008-12-31||21.0|1.0|0.0|1.0|1|0|1|0|0|1|1|30.0|99.0|1.0|0.0|0.0|0.0|657|||21.0|21.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|30.0|99.0|1.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
5685|2deoxyglucose|Prostate|0|NCT00633087|2011-03-31|12.0|52.0|1.0|3.0|1.0|1|0|1|1|0|1|1|18.0|99.0|1.0|1.0|2.0|1.0|1597|12.0|12.0|52.0|52.0|1.0|3.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|1.0|1.0|2.0|1.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
22313|a3384|Gastric|0|NCT02078856|2014-12-31|19.0|9.0|1.0|1.0|3.0|1|0|0|0|0|1|1|18.0|80.0|3.0|0.0|0.0|0.0|291|19.0|19.0|9.0|9.0|1.0|1.0|3.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|18.0|80.0|3.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
21945|a6|Leukemia, Chronic Lymphocytic|0|NCT02046928|2015-11-30|5.0|21.0|1.0|4.0|1.0|1|0|1|1|0|1|1|18.0|99.0|1.0|1.0|2.0|1.0|653|5.0|5.0|21.0|21.0|1.0|4.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|1.0|1.0|2.0|1.0|1.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
21946|a6|Leukemia, Chronic Lymphocytic|0|NCT02046928|2015-11-30|5.0|21.0|1.0|4.0|1.0|1|0|1|1|0|1|1|18.0|99.0|1.0|0.0|0.0|0.0|653|10.0|5.0|42.0|21.0|2.0|8.0|2.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|1.0|1.0|2.0|1.0|1.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
21947|a6|Lymphoma, Non-Hodgkin's|0|NCT02046928|2015-11-30|5.0|21.0|1.0|4.0|1.0|1|0|1|1|0|1|1|18.0|99.0|1.0|0.0|0.0|0.0|653|5.0|5.0|21.0|21.0|1.0|4.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|1.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
17047|abacavir|HIV|1|NCT00214890|2008-06-26|21.0||3.0|3.0|2.0|1|0|0|1|0|1|1|18.0|99.0|5.0|0.0|2.0|0.0|1297|21.0|21.0|||3.0|3.0|2.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|99.0|5.0|0.0|2.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
9584|abatacept|Rheumatoid Arthritis|1|NCT00254293|2007-05-31|87.0|16.0|4.0|12.0|6.0|1|0|0|1|0|1|1|18.0|99.0|5.0|0.0|2.0|0.0|501|87.0|87.0|16.0|16.0|4.0|12.0|6.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|99.0|5.0|0.0|2.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
9583|abatacept|Rheumatoid Arthritis|1|NCT00345748|2007-11-30|194.0|17.0|1.0|2.0|3.0|1|0|0|0|0|1|1|20.0|99.0|38.0|0.0|0.0|1.0|684|281.0|140.5|33.0|16.5|5.0|14.0|9.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|99.0|38.0|0.0|2.0|1.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
9582|abatacept|Rheumatoid Arthritis|1|NCT02027298|2014-10-31|0.0|11.0|1.0|2.0|1.0|1|0|1|1|0|1|1|18.0|99.0|1.0|1.0|2.0|1.0|3211|281.0|93.66666666666667|44.0|14.666666666666666|6.0|16.0|10.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|38.0|1.0|2.0|1.0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
9571|abatacept|Rheumatoid Arthritis|1|NCT04186871|2022-12-05|119.0||3.0|8.0|6.0|1|0|0|1|0|1|1|18.0|75.0|81.0|0.0|2.0|1.0|6168|400.0|100.0|44.0|14.666666666666666|9.0|24.0|16.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|81.0|1.0|2.0|1.0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
5989|abemaciclib|Breast|1|NCT02102490|2016-04-30|132.0||1.0|8.0|1.0|1|0|0|1|0|1|0|18.0|99.0|36.0|0.0|2.0|1.0|690|132.0|132.0|||1.0|8.0|1.0|1.0|0.0|0.0|1.0|0.0|1.0|0.0|18.0|99.0|36.0|0.0|2.0|1.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
